date,open,,high,,low,,close,
2019-02-03 23.00.00.000,1.14517,145170,1.14574,145740,1.14516,145160,1.14555,145550
2019-02-04 00.00.00.000,1.1455,145500,1.1458,145800,1.14528,145280,1.14543,145430
2019-02-04 01.00.00.000,1.14544,145440,1.14596,145960,1.14529,145290,1.14553,145530
2019-02-04 02.00.00.000,1.14554,145540,1.14589,145890,1.14539,145390,1.14581,145810
2019-02-04 03.00.00.000,1.1458,145800,1.14602,146020,1.14528,145280,1.14534,145340
2019-02-04 04.00.00.000,1.14535,145350,1.14545,145450,1.14461,144610,1.14484,144840
2019-02-04 05.00.00.000,1.14482,144820,1.1449,144900,1.14413,144130,1.14424,144240
2019-02-04 06.00.00.000,1.14423,144230,1.1446,144600,1.14423,144230,1.14432,144320
2019-02-04 07.00.00.000,1.14435,144350,1.14444,144440,1.14395,143950,1.1444,144400
2019-02-04 08.00.00.000,1.14439,144390,1.14452,144520,1.14379,143790,1.14422,144220
2019-02-04 09.00.00.000,1.14423,144230,1.1453,145300,1.14385,143850,1.14507,145070
2019-02-04 10.00.00.000,1.14508,145080,1.14532,145320,1.14439,144390,1.14452,144520
2019-02-04 11.00.00.000,1.1445,144500,1.14481,144810,1.14405,144050,1.14464,144640
2019-02-04 12.00.00.000,1.14463,144630,1.14541,145410,1.14449,144490,1.14517,145170
2019-02-04 13.00.00.000,1.14516,145160,1.14525,145250,1.14413,144130,1.14475,144750
2019-02-04 14.00.00.000,1.14474,144740,1.1451,145100,1.14428,144280,1.14488,144880
2019-02-04 15.00.00.000,1.1449,144900,1.14502,145020,1.14245,142450,1.14262,142620
2019-02-04 16.00.00.000,1.14264,142640,1.14373,143730,1.14253,142530,1.14284,142840
2019-02-04 17.00.00.000,1.14288,142880,1.14377,143770,1.14242,142420,1.14375,143750
2019-02-04 18.00.00.000,1.14374,143740,1.14398,143980,1.14295,142950,1.1431,143100
2019-02-04 19.00.00.000,1.14312,143120,1.14346,143460,1.14264,142640,1.1432,143200
2019-02-04 20.00.00.000,1.14321,143210,1.14356,143560,1.14304,143040,1.14311,143110
2019-02-04 21.00.00.000,1.1431,143100,1.14348,143480,1.1431,143100,1.14343,143430
2019-02-04 22.00.00.000,1.14342,143420,1.14367,143670,1.14333,143330,1.14362,143620
2019-02-04 23.00.00.000,1.14358,143580,1.14372,143720,1.14341,143410,1.14347,143470
2019-02-05 00.00.00.000,1.14345,143450,1.14382,143820,1.14343,143430,1.14348,143480
2019-02-05 01.00.00.000,1.14346,143460,1.1439,143900,1.14328,143280,1.14357,143570
2019-02-05 02.00.00.000,1.14358,143580,1.14395,143950,1.14353,143530,1.1438,143800
2019-02-05 03.00.00.000,1.14376,143760,1.14403,144030,1.14372,143720,1.1439,143900
2019-02-05 04.00.00.000,1.14389,143890,1.1439,143900,1.14318,143180,1.14328,143280
2019-02-05 05.00.00.000,1.14332,143320,1.14345,143450,1.14304,143040,1.14319,143190
2019-02-05 06.00.00.000,1.14315,143150,1.14355,143550,1.14307,143070,1.1434,143400
2019-02-05 07.00.00.000,1.14339,143390,1.14339,143390,1.14288,142880,1.14326,143260
2019-02-05 08.00.00.000,1.14325,143250,1.14325,143250,1.14211,142110,1.14249,142490
2019-02-05 09.00.00.000,1.14248,142480,1.14251,142510,1.14114,141140,1.14134,141340
2019-02-05 10.00.00.000,1.14135,141350,1.14253,142530,1.14134,141340,1.14191,141910
2019-02-05 11.00.00.000,1.1419,141900,1.14225,142250,1.14165,141650,1.14172,141720
2019-02-05 12.00.00.000,1.14171,141710,1.14219,142190,1.14124,141240,1.14212,142120
2019-02-05 13.00.00.000,1.14213,142130,1.14296,142960,1.1419,141900,1.14203,142030
2019-02-05 14.00.00.000,1.14204,142040,1.14331,143310,1.14167,141670,1.14286,142860
2019-02-05 15.00.00.000,1.14287,142870,1.14336,143360,1.14115,141150,1.14141,141410
2019-02-05 16.00.00.000,1.14147,141470,1.14178,141780,1.14049,140490,1.14064,140640
2019-02-05 17.00.00.000,1.14065,140650,1.14105,141050,1.1401,140100,1.1405,140500
2019-02-05 18.00.00.000,1.14052,140520,1.14117,141170,1.14017,140170,1.14092,140920
2019-02-05 19.00.00.000,1.14091,140910,1.14171,141710,1.14091,140910,1.14124,141240
2019-02-05 20.00.00.000,1.14122,141220,1.14131,141310,1.1409,140900,1.14091,140910
2019-02-05 21.00.00.000,1.14093,140930,1.14127,141270,1.14085,140850,1.14126,141260
2019-02-05 22.00.00.000,1.14128,141280,1.14134,141340,1.14012,140120,1.14042,140420
2019-02-05 23.00.00.000,1.14023,140230,1.14062,140620,1.14023,140230,1.1404,140400
2019-02-06 00.00.00.000,1.14046,140460,1.14092,140920,1.1404,140400,1.14086,140860
2019-02-06 01.00.00.000,1.14083,140830,1.14089,140890,1.14036,140360,1.14064,140640
2019-02-06 02.00.00.000,1.14063,140630,1.14069,140690,1.13976,139760,1.1401,140100
2019-02-06 03.00.00.000,1.14011,140110,1.14063,140630,1.13959,139590,1.14027,140270
2019-02-06 04.00.00.000,1.14028,140280,1.14028,140280,1.13963,139630,1.13981,139810
2019-02-06 05.00.00.000,1.13982,139820,1.14016,140160,1.13982,139820,1.14011,140110
2019-02-06 06.00.00.000,1.14012,140120,1.14021,140210,1.13958,139580,1.13965,139650
2019-02-06 07.00.00.000,1.13967,139670,1.13979,139790,1.13875,138750,1.13899,138990
2019-02-06 08.00.00.000,1.13898,138980,1.13901,139010,1.138,138000,1.13891,138910
2019-02-06 09.00.00.000,1.13889,138890,1.1395,139500,1.13818,138180,1.13911,139110
2019-02-06 10.00.00.000,1.13913,139130,1.13954,139540,1.1388,138800,1.13882,138820
2019-02-06 11.00.00.000,1.13881,138810,1.13985,139850,1.13869,138690,1.13965,139650
2019-02-06 12.00.00.000,1.13966,139660,1.13969,139690,1.13829,138290,1.13845,138450
2019-02-06 13.00.00.000,1.13844,138440,1.1395,139500,1.13837,138370,1.13915,139150
2019-02-06 14.00.00.000,1.13917,139170,1.13953,139530,1.1386,138600,1.13865,138650
2019-02-06 15.00.00.000,1.1387,138700,1.13899,138990,1.13815,138150,1.13829,138290
2019-02-06 16.00.00.000,1.1383,138300,1.13861,138610,1.13749,137490,1.13769,137690
2019-02-06 17.00.00.000,1.1377,137700,1.13822,138220,1.13746,137460,1.13796,137960
2019-02-06 18.00.00.000,1.13797,137970,1.13818,138180,1.13743,137430,1.13752,137520
2019-02-06 19.00.00.000,1.13751,137510,1.13757,137570,1.13641,136410,1.13659,136590
2019-02-06 20.00.00.000,1.1366,136600,1.13661,136610,1.13619,136190,1.13641,136410
2019-02-06 21.00.00.000,1.1364,136400,1.13695,136950,1.13629,136290,1.13681,136810
2019-02-06 22.00.00.000,1.13676,136760,1.13676,136760,1.13606,136060,1.13614,136140
2019-02-06 23.00.00.000,1.13626,136260,1.1367,136700,1.13619,136190,1.1367,136700
2019-02-07 00.00.00.000,1.13667,136670,1.13682,136820,1.13649,136490,1.13654,136540
2019-02-07 01.00.00.000,1.13655,136550,1.13674,136740,1.13636,136360,1.13643,136430
2019-02-07 02.00.00.000,1.13645,136450,1.13652,136520,1.13591,135910,1.13605,136050
2019-02-07 03.00.00.000,1.13606,136060,1.13626,136260,1.13584,135840,1.13606,136060
2019-02-07 04.00.00.000,1.13607,136070,1.13611,136110,1.1359,135900,1.13596,135960
2019-02-07 05.00.00.000,1.13595,135950,1.13618,136180,1.13567,135670,1.13617,136170
2019-02-07 06.00.00.000,1.13619,136190,1.13643,136430,1.13593,135930,1.13594,135940
2019-02-07 07.00.00.000,1.13593,135930,1.13664,136640,1.13589,135890,1.1366,136600
2019-02-07 08.00.00.000,1.13659,136590,1.13659,136590,1.13533,135330,1.13541,135410
2019-02-07 09.00.00.000,1.1354,135400,1.13568,135680,1.13464,134640,1.13551,135510
2019-02-07 10.00.00.000,1.13552,135520,1.13552,135520,1.13399,133990,1.13448,134480
2019-02-07 11.00.00.000,1.13449,134490,1.13462,134620,1.13317,133170,1.13363,133630
2019-02-07 12.00.00.000,1.13362,133620,1.13369,133690,1.13244,132440,1.1328,132800
2019-02-07 13.00.00.000,1.13281,132810,1.13441,134410,1.13267,132670,1.13441,134410
2019-02-07 14.00.00.000,1.13442,134420,1.13481,134810,1.13298,132980,1.13306,133060
2019-02-07 15.00.00.000,1.13307,133070,1.13516,135160,1.13304,133040,1.13465,134650
2019-02-07 16.00.00.000,1.13469,134690,1.13589,135890,1.13462,134620,1.13561,135610
2019-02-07 17.00.00.000,1.13565,135650,1.1359,135900,1.13537,135370,1.13561,135610
2019-02-07 18.00.00.000,1.13562,135620,1.13598,135980,1.13488,134880,1.13489,134890
2019-02-07 19.00.00.000,1.1349,134900,1.13558,135580,1.1347,134700,1.13535,135350
2019-02-07 20.00.00.000,1.13536,135360,1.13541,135410,1.1347,134700,1.13493,134930
2019-02-07 21.00.00.000,1.13495,134950,1.13532,135320,1.13423,134230,1.13423,134230
2019-02-07 22.00.00.000,1.13426,134260,1.1346,134600,1.13361,133610,1.13377,133770
2019-02-07 23.00.00.000,1.13395,133950,1.13438,134380,1.1338,133800,1.13418,134180
2019-02-08 00.00.00.000,1.13419,134190,1.13419,134190,1.13372,133720,1.13381,133810
2019-02-08 01.00.00.000,1.13382,133820,1.13407,134070,1.13351,133510,1.13401,134010
2019-02-08 02.00.00.000,1.13402,134020,1.13409,134090,1.13366,133660,1.13375,133750
2019-02-08 03.00.00.000,1.13374,133740,1.13391,133910,1.13356,133560,1.1338,133800
2019-02-08 04.00.00.000,1.13379,133790,1.1341,134100,1.13375,133750,1.13402,134020
2019-02-08 05.00.00.000,1.13399,133990,1.13433,134330,1.13392,133920,1.13407,134070
2019-02-08 06.00.00.000,1.13406,134060,1.13411,134110,1.13381,133810,1.13392,133920
2019-02-08 07.00.00.000,1.13393,133930,1.13402,134020,1.13361,133610,1.13382,133820
2019-02-08 08.00.00.000,1.13381,133810,1.13429,134290,1.13339,133390,1.134,134000
2019-02-08 09.00.00.000,1.13399,133990,1.13399,133990,1.13228,132280,1.13321,133210
2019-02-08 10.00.00.000,1.13322,133220,1.13325,133250,1.13227,132270,1.13255,132550
2019-02-08 11.00.00.000,1.1326,132600,1.13397,133970,1.1326,132600,1.13378,133780
