date,open,,high,,low,,close,
2019-02-03 22.15.00.000,1.14517,145170,1.14574,145740,1.14517,145170,1.14543,145430
2019-02-03 22.30.00.000,1.14544,145440,1.1455,145500,1.1452,145200,1.1452,145200
2019-02-03 22.45.00.000,1.14516,145160,1.14551,145510,1.14516,145160,1.14539,145390
2019-02-03 23.00.00.000,1.14538,145380,1.1457,145700,1.14528,145280,1.14555,145550
2019-02-03 23.15.00.000,1.1455,145500,1.1458,145800,1.14528,145280,1.14551,145510
2019-02-03 23.30.00.000,1.1455,145500,1.14571,145710,1.1455,145500,1.14553,145530
2019-02-03 23.45.00.000,1.14554,145540,1.1456,145600,1.14544,145440,1.14559,145590
2019-02-04 00.00.00.000,1.1456,145600,1.1456,145600,1.14543,145430,1.14543,145430
2019-02-04 00.15.00.000,1.14544,145440,1.1458,145800,1.14532,145320,1.14575,145750
2019-02-04 00.30.00.000,1.14576,145760,1.14596,145960,1.14556,145560,1.14595,145950
2019-02-04 00.45.00.000,1.14594,145940,1.14594,145940,1.14546,145460,1.14566,145660
2019-02-04 01.00.00.000,1.14564,145640,1.14578,145780,1.14529,145290,1.14553,145530
2019-02-04 01.15.00.000,1.14554,145540,1.14566,145660,1.14539,145390,1.14559,145590
2019-02-04 01.30.00.000,1.14558,145580,1.1457,145700,1.14543,145430,1.14552,145520
2019-02-04 01.45.00.000,1.14551,145510,1.14589,145890,1.14544,145440,1.14576,145760
2019-02-04 02.00.00.000,1.14579,145790,1.14586,145860,1.1457,145700,1.14581,145810
2019-02-04 02.15.00.000,1.1458,145800,1.14586,145860,1.14573,145730,1.14576,145760
2019-02-04 02.30.00.000,1.14579,145790,1.14602,146020,1.14563,145630,1.14578,145780
2019-02-04 02.45.00.000,1.14579,145790,1.14585,145850,1.14542,145420,1.14543,145430
2019-02-04 03.00.00.000,1.14542,145420,1.14548,145480,1.14528,145280,1.14534,145340
2019-02-04 03.15.00.000,1.14535,145350,1.14545,145450,1.14513,145130,1.1452,145200
2019-02-04 03.30.00.000,1.14519,145190,1.1452,145200,1.145,145000,1.14504,145040
2019-02-04 03.45.00.000,1.14503,145030,1.1452,145200,1.14484,144840,1.1449,144900
2019-02-04 04.00.00.000,1.14491,144910,1.14496,144960,1.14461,144610,1.14484,144840
2019-02-04 04.15.00.000,1.14482,144820,1.1449,144900,1.14468,144680,1.14475,144750
2019-02-04 04.30.00.000,1.14476,144760,1.14483,144830,1.14444,144440,1.14447,144470
2019-02-04 04.45.00.000,1.14448,144480,1.14455,144550,1.14433,144330,1.14441,144410
2019-02-04 05.00.00.000,1.1444,144400,1.14441,144410,1.14413,144130,1.14424,144240
2019-02-04 05.15.00.000,1.14423,144230,1.1445,144500,1.14423,144230,1.14444,144440
2019-02-04 05.30.00.000,1.14445,144450,1.1446,144600,1.1444,144400,1.1444,144400
2019-02-04 05.45.00.000,1.14441,144410,1.14449,144490,1.14429,144290,1.14439,144390
2019-02-04 06.00.00.000,1.1444,144400,1.14454,144540,1.14426,144260,1.14432,144320
2019-02-04 06.15.00.000,1.14435,144350,1.14438,144380,1.14422,144220,1.14432,144320
2019-02-04 06.30.00.000,1.14427,144270,1.14444,144440,1.14416,144160,1.14419,144190
2019-02-04 06.45.00.000,1.14418,144180,1.14419,144190,1.14395,143950,1.14407,144070
2019-02-04 07.00.00.000,1.14408,144080,1.14442,144420,1.14401,144010,1.1444,144400
2019-02-04 07.15.00.000,1.14439,144390,1.1445,144500,1.14416,144160,1.14438,144380
2019-02-04 07.30.00.000,1.14439,144390,1.14451,144510,1.14408,144080,1.14428,144280
2019-02-04 07.45.00.000,1.14425,144250,1.14428,144280,1.14379,143790,1.14408,144080
2019-02-04 08.00.00.000,1.14406,144060,1.14452,144520,1.14396,143960,1.14422,144220
2019-02-04 08.15.00.000,1.14423,144230,1.1453,145300,1.14385,143850,1.14474,144740
2019-02-04 08.30.00.000,1.14476,144760,1.14508,145080,1.14439,144390,1.14447,144470
2019-02-04 08.45.00.000,1.14448,144480,1.1449,144900,1.14439,144390,1.14471,144710
2019-02-04 09.00.00.000,1.14472,144720,1.14528,145280,1.14469,144690,1.14507,145070
2019-02-04 09.15.00.000,1.14508,145080,1.14532,145320,1.14489,144890,1.14504,145040
2019-02-04 09.30.00.000,1.14503,145030,1.14513,145130,1.14446,144460,1.14448,144480
2019-02-04 09.45.00.000,1.14447,144470,1.14502,145020,1.1444,144400,1.14487,144870
2019-02-04 10.00.00.000,1.14489,144890,1.14492,144920,1.14439,144390,1.14452,144520
2019-02-04 10.15.00.000,1.1445,144500,1.1445,144500,1.1441,144100,1.14411,144110
2019-02-04 10.30.00.000,1.1441,144100,1.14448,144480,1.14405,144050,1.14423,144230
2019-02-04 10.45.00.000,1.14426,144260,1.14468,144680,1.14424,144240,1.14461,144610
2019-02-04 11.00.00.000,1.1446,144600,1.14481,144810,1.14446,144460,1.14464,144640
2019-02-04 11.15.00.000,1.14463,144630,1.14514,145140,1.14463,144630,1.14479,144790
2019-02-04 11.30.00.000,1.14477,144770,1.14516,145160,1.14463,144630,1.14463,144630
2019-02-04 11.45.00.000,1.14464,144640,1.14522,145220,1.14449,144490,1.14517,145170
2019-02-04 12.00.00.000,1.14518,145180,1.14541,145410,1.1451,145100,1.14517,145170
2019-02-04 12.15.00.000,1.14516,145160,1.14525,145250,1.14498,144980,1.14503,145030
2019-02-04 12.30.00.000,1.14501,145010,1.14521,145210,1.14487,144870,1.14488,144880
2019-02-04 12.45.00.000,1.1449,144900,1.14506,145060,1.14413,144130,1.14423,144230
2019-02-04 13.00.00.000,1.14421,144210,1.14475,144750,1.14417,144170,1.14475,144750
2019-02-04 13.15.00.000,1.14474,144740,1.14478,144780,1.14428,144280,1.14446,144460
2019-02-04 13.30.00.000,1.14445,144450,1.14493,144930,1.1444,144400,1.14484,144840
2019-02-04 13.45.00.000,1.14483,144830,1.1451,145100,1.14469,144690,1.14492,144920
2019-02-04 14.00.00.000,1.14493,144930,1.14503,145030,1.14461,144610,1.14488,144880
2019-02-04 14.15.00.000,1.1449,144900,1.14502,145020,1.14331,143310,1.14372,143720
2019-02-04 14.30.00.000,1.1437,143700,1.14388,143880,1.14344,143440,1.14384,143840
